average number of rooms per dwelling,% lower status of the population
6.575000000000000178e+00,4.980000000000000426e+00
6.421000000000000263e+00,9.140000000000000568e+00
7.184999999999999609e+00,4.030000000000000249e+00
6.998000000000000220e+00,2.939999999999999947e+00
7.147000000000000242e+00,5.330000000000000071e+00
6.429999999999999716e+00,5.209999999999999964e+00
6.011999999999999567e+00,1.242999999999999972e+01
6.171999999999999709e+00,1.914999999999999858e+01
5.631000000000000227e+00,2.992999999999999972e+01
6.003999999999999559e+00,1.710000000000000142e+01
6.376999999999999780e+00,2.044999999999999929e+01
6.009000000000000341e+00,1.326999999999999957e+01
5.889000000000000234e+00,1.571000000000000085e+01
5.948999999999999844e+00,8.259999999999999787e+00
6.096000000000000085e+00,1.025999999999999979e+01
5.833999999999999631e+00,8.470000000000000639e+00
5.934999999999999609e+00,6.580000000000000071e+00
5.990000000000000213e+00,1.466999999999999993e+01
5.456000000000000405e+00,1.168999999999999950e+01
5.727000000000000313e+00,1.127999999999999936e+01
5.570000000000000284e+00,2.101999999999999957e+01
5.964999999999999858e+00,1.383000000000000007e+01
6.142000000000000348e+00,1.871999999999999886e+01
5.812999999999999723e+00,1.987999999999999901e+01
5.924000000000000377e+00,1.630000000000000071e+01
5.599000000000000199e+00,1.651000000000000156e+01
5.812999999999999723e+00,1.481000000000000050e+01
6.046999999999999709e+00,1.728000000000000114e+01
6.495000000000000107e+00,1.280000000000000071e+01
6.674000000000000377e+00,1.198000000000000043e+01
5.713000000000000078e+00,2.260000000000000142e+01
6.072000000000000064e+00,1.303999999999999915e+01
5.950000000000000178e+00,2.771000000000000085e+01
5.700999999999999623e+00,1.835000000000000142e+01
6.096000000000000085e+00,2.033999999999999986e+01
5.932999999999999829e+00,9.679999999999999716e+00
5.841000000000000192e+00,1.141000000000000014e+01
5.849999999999999645e+00,8.769999999999999574e+00
5.966000000000000192e+00,1.013000000000000078e+01
6.594999999999999751e+00,4.320000000000000284e+00
7.024000000000000021e+00,1.979999999999999982e+00
6.769999999999999574e+00,4.839999999999999858e+00
6.168999999999999595e+00,5.809999999999999609e+00
6.211000000000000298e+00,7.440000000000000391e+00
6.068999999999999950e+00,9.550000000000000711e+00
5.682000000000000384e+00,1.021000000000000085e+01
5.785999999999999588e+00,1.415000000000000036e+01
6.030000000000000249e+00,1.880000000000000071e+01
5.399000000000000021e+00,3.080999999999999872e+01
5.602000000000000313e+00,1.619999999999999929e+01
5.963000000000000078e+00,1.344999999999999929e+01
6.115000000000000213e+00,9.429999999999999716e+00
6.511000000000000121e+00,5.280000000000000249e+00
5.998000000000000220e+00,8.429999999999999716e+00
5.887999999999999901e+00,1.480000000000000071e+01
7.248999999999999666e+00,4.809999999999999609e+00
6.383000000000000007e+00,5.769999999999999574e+00
6.815999999999999837e+00,3.950000000000000178e+00
6.144999999999999574e+00,6.860000000000000320e+00
5.926999999999999602e+00,9.220000000000000639e+00
5.740999999999999659e+00,1.315000000000000036e+01
5.966000000000000192e+00,1.443999999999999950e+01
6.456000000000000405e+00,6.730000000000000426e+00
6.761999999999999567e+00,9.500000000000000000e+00
7.104000000000000092e+00,8.050000000000000711e+00
6.290000000000000036e+00,4.669999999999999929e+00
5.786999999999999922e+00,1.024000000000000021e+01
5.878000000000000114e+00,8.099999999999999645e+00
5.594000000000000306e+00,1.308999999999999986e+01
5.884999999999999787e+00,8.789999999999999147e+00
6.416999999999999815e+00,6.719999999999999751e+00
5.961000000000000298e+00,9.880000000000000782e+00
6.065000000000000391e+00,5.519999999999999574e+00
6.245000000000000107e+00,7.540000000000000036e+00
6.272999999999999687e+00,6.780000000000000249e+00
6.285999999999999588e+00,8.939999999999999503e+00
6.278999999999999915e+00,1.197000000000000064e+01
6.139999999999999680e+00,1.026999999999999957e+01
6.232000000000000206e+00,1.233999999999999986e+01
5.873999999999999666e+00,9.099999999999999645e+00
6.727000000000000313e+00,5.290000000000000036e+00
6.618999999999999773e+00,7.219999999999999751e+00
6.301999999999999602e+00,6.719999999999999751e+00
6.166999999999999815e+00,7.509999999999999787e+00
6.389000000000000234e+00,9.619999999999999218e+00
6.629999999999999893e+00,6.530000000000000249e+00
6.014999999999999680e+00,1.285999999999999943e+01
6.121000000000000441e+00,8.439999999999999503e+00
7.006999999999999673e+00,5.500000000000000000e+00
7.078999999999999737e+00,5.700000000000000178e+00
6.416999999999999815e+00,8.810000000000000497e+00
6.405000000000000249e+00,8.199999999999999289e+00
6.442000000000000171e+00,8.160000000000000142e+00
6.211000000000000298e+00,6.209999999999999964e+00
6.248999999999999666e+00,1.058999999999999986e+01
6.625000000000000000e+00,6.650000000000000355e+00
6.163000000000000256e+00,1.133999999999999986e+01
8.069000000000000838e+00,4.209999999999999964e+00
7.820000000000000284e+00,3.569999999999999840e+00
7.416000000000000369e+00,6.190000000000000391e+00
6.727000000000000313e+00,9.419999999999999929e+00
6.780999999999999694e+00,7.669999999999999929e+00
6.405000000000000249e+00,1.063000000000000078e+01
6.136999999999999567e+00,1.343999999999999950e+01
6.166999999999999815e+00,1.233000000000000007e+01
5.850999999999999979e+00,1.646999999999999886e+01
5.836000000000000298e+00,1.866000000000000014e+01
6.126999999999999780e+00,1.408999999999999986e+01
6.474000000000000199e+00,1.226999999999999957e+01
6.229000000000000092e+00,1.555000000000000071e+01
6.195000000000000284e+00,1.300000000000000000e+01
6.714999999999999858e+00,1.016000000000000014e+01
5.913000000000000256e+00,1.621000000000000085e+01
6.091999999999999638e+00,1.708999999999999986e+01
6.253999999999999559e+00,1.044999999999999929e+01
5.927999999999999936e+00,1.575999999999999979e+01
6.176000000000000156e+00,1.203999999999999915e+01
6.020999999999999908e+00,1.030000000000000071e+01
5.871999999999999886e+00,1.536999999999999922e+01
5.730999999999999872e+00,1.360999999999999943e+01
5.870000000000000107e+00,1.436999999999999922e+01
6.003999999999999559e+00,1.426999999999999957e+01
5.961000000000000298e+00,1.792999999999999972e+01
5.855999999999999872e+00,2.541000000000000014e+01
5.878999999999999559e+00,1.757999999999999829e+01
5.985999999999999766e+00,1.481000000000000050e+01
5.613000000000000433e+00,2.726000000000000156e+01
5.692999999999999616e+00,1.719000000000000128e+01
6.431000000000000050e+00,1.539000000000000057e+01
5.636999999999999567e+00,1.833999999999999986e+01
6.458000000000000185e+00,1.259999999999999964e+01
6.325999999999999623e+00,1.225999999999999979e+01
6.371999999999999886e+00,1.111999999999999922e+01
5.822000000000000064e+00,1.502999999999999936e+01
5.756999999999999673e+00,1.730999999999999872e+01
6.334999999999999964e+00,1.696000000000000085e+01
5.942000000000000171e+00,1.689999999999999858e+01
6.453999999999999737e+00,1.458999999999999986e+01
5.857000000000000206e+00,2.132000000000000028e+01
6.150999999999999801e+00,1.846000000000000085e+01
6.174000000000000377e+00,2.416000000000000014e+01
5.019000000000000128e+00,3.440999999999999659e+01
5.402999999999999581e+00,2.682000000000000028e+01
5.467999999999999972e+00,2.642000000000000171e+01
4.902999999999999581e+00,2.928999999999999915e+01
6.129999999999999893e+00,2.780000000000000071e+01
5.628000000000000114e+00,1.664999999999999858e+01
4.926000000000000156e+00,2.953000000000000114e+01
5.185999999999999943e+00,2.832000000000000028e+01
5.597000000000000419e+00,2.144999999999999929e+01
6.121999999999999886e+00,1.409999999999999964e+01
5.403999999999999915e+00,1.327999999999999936e+01
5.011999999999999567e+00,1.211999999999999922e+01
5.708999999999999631e+00,1.578999999999999915e+01
6.128999999999999559e+00,1.511999999999999922e+01
6.152000000000000135e+00,1.501999999999999957e+01
5.272000000000000242e+00,1.614000000000000057e+01
6.942999999999999616e+00,4.589999999999999858e+00
6.065999999999999837e+00,6.429999999999999716e+00
6.509999999999999787e+00,7.389999999999999680e+00
6.250000000000000000e+00,5.500000000000000000e+00
7.488999999999999879e+00,1.729999999999999982e+00
7.801999999999999602e+00,1.919999999999999929e+00
8.375000000000000000e+00,3.319999999999999840e+00
5.854000000000000092e+00,1.164000000000000057e+01
6.100999999999999979e+00,9.810000000000000497e+00
7.929000000000000270e+00,3.700000000000000178e+00
5.876999999999999780e+00,1.214000000000000057e+01
6.318999999999999950e+00,1.109999999999999964e+01
6.402000000000000135e+00,1.132000000000000028e+01
5.875000000000000000e+00,1.442999999999999972e+01
5.879999999999999893e+00,1.202999999999999936e+01
5.572000000000000064e+00,1.468999999999999950e+01
6.416000000000000369e+00,9.039999999999999147e+00
5.858999999999999986e+00,9.640000000000000568e+00
6.546000000000000263e+00,5.330000000000000071e+00
6.019999999999999574e+00,1.010999999999999943e+01
6.315000000000000391e+00,6.290000000000000036e+00
6.860000000000000320e+00,6.919999999999999929e+00
6.980000000000000426e+00,5.040000000000000036e+00
7.764999999999999680e+00,7.559999999999999609e+00
6.144000000000000128e+00,9.449999999999999289e+00
7.155000000000000249e+00,4.820000000000000284e+00
6.562999999999999723e+00,5.679999999999999716e+00
5.604000000000000092e+00,1.398000000000000043e+01
6.152999999999999581e+00,1.315000000000000036e+01
7.831000000000000405e+00,4.450000000000000178e+00
6.782000000000000028e+00,6.679999999999999716e+00
6.556000000000000050e+00,4.559999999999999609e+00
7.184999999999999609e+00,5.389999999999999680e+00
6.950999999999999623e+00,5.099999999999999645e+00
6.738999999999999879e+00,4.690000000000000391e+00
7.177999999999999936e+00,2.870000000000000107e+00
6.799999999999999822e+00,5.030000000000000249e+00
6.604000000000000092e+00,4.379999999999999893e+00
7.875000000000000000e+00,2.970000000000000195e+00
7.286999999999999922e+00,4.080000000000000071e+00
7.107000000000000206e+00,8.609999999999999432e+00
7.274000000000000021e+00,6.620000000000000107e+00
6.974999999999999645e+00,4.559999999999999609e+00
7.134999999999999787e+00,4.450000000000000178e+00
6.161999999999999922e+00,7.429999999999999716e+00
7.610000000000000320e+00,3.109999999999999876e+00
7.852999999999999758e+00,3.810000000000000053e+00
8.034000000000000696e+00,2.879999999999999893e+00
5.891000000000000014e+00,1.086999999999999922e+01
6.325999999999999623e+00,1.097000000000000064e+01
5.783000000000000362e+00,1.805999999999999872e+01
6.064000000000000057e+00,1.466000000000000014e+01
5.344000000000000306e+00,2.308999999999999986e+01
5.959999999999999964e+00,1.726999999999999957e+01
5.403999999999999915e+00,2.398000000000000043e+01
5.807000000000000384e+00,1.603000000000000114e+01
6.375000000000000000e+00,9.380000000000000782e+00
5.411999999999999922e+00,2.955000000000000071e+01
6.182000000000000384e+00,9.470000000000000639e+00
5.887999999999999901e+00,1.350999999999999979e+01
6.642000000000000348e+00,9.689999999999999503e+00
5.950999999999999623e+00,1.792000000000000171e+01
6.373000000000000220e+00,1.050000000000000000e+01
6.950999999999999623e+00,9.710000000000000853e+00
6.163999999999999702e+00,2.146000000000000085e+01
6.878999999999999559e+00,9.929999999999999716e+00
6.618000000000000327e+00,7.599999999999999645e+00
8.266000000000000014e+00,4.139999999999999680e+00
8.724999999999999645e+00,4.629999999999999893e+00
8.039999999999999147e+00,3.129999999999999893e+00
7.163000000000000256e+00,6.360000000000000320e+00
7.685999999999999943e+00,3.919999999999999929e+00
6.551999999999999602e+00,3.759999999999999787e+00
5.980999999999999872e+00,1.165000000000000036e+01
7.411999999999999922e+00,5.250000000000000000e+00
8.336999999999999744e+00,2.470000000000000195e+00
8.246999999999999886e+00,3.950000000000000178e+00
6.725999999999999979e+00,8.050000000000000711e+00
6.086000000000000298e+00,1.088000000000000078e+01
6.631000000000000227e+00,9.539999999999999147e+00
7.357999999999999652e+00,4.730000000000000426e+00
6.480999999999999872e+00,6.360000000000000320e+00
6.605999999999999872e+00,7.370000000000000107e+00
6.897000000000000242e+00,1.138000000000000078e+01
6.094999999999999751e+00,1.240000000000000036e+01
6.357999999999999652e+00,1.122000000000000064e+01
6.392999999999999794e+00,5.190000000000000391e+00
5.592999999999999972e+00,1.250000000000000000e+01
5.605000000000000426e+00,1.846000000000000085e+01
6.107999999999999652e+00,9.160000000000000142e+00
6.225999999999999979e+00,1.015000000000000036e+01
6.432999999999999829e+00,9.519999999999999574e+00
6.717999999999999972e+00,6.559999999999999609e+00
6.487000000000000099e+00,5.900000000000000355e+00
6.437999999999999723e+00,3.589999999999999858e+00
6.956999999999999851e+00,3.529999999999999805e+00
8.259000000000000341e+00,3.540000000000000036e+00
6.107999999999999652e+00,6.570000000000000284e+00
5.876000000000000334e+00,9.250000000000000000e+00
7.453999999999999737e+00,3.109999999999999876e+00
8.704000000000000625e+00,5.120000000000000107e+00
7.333000000000000185e+00,7.790000000000000036e+00
6.841999999999999638e+00,6.900000000000000355e+00
7.203000000000000291e+00,9.589999999999999858e+00
7.519999999999999574e+00,7.259999999999999787e+00
8.397999999999999687e+00,5.910000000000000142e+00
7.326999999999999957e+00,1.125000000000000000e+01
7.206000000000000405e+00,8.099999999999999645e+00
5.559999999999999609e+00,1.044999999999999929e+01
7.014000000000000234e+00,1.478999999999999915e+01
8.297000000000000597e+00,7.440000000000000391e+00
7.469999999999999751e+00,3.160000000000000142e+00
5.919999999999999929e+00,1.365000000000000036e+01
5.855999999999999872e+00,1.300000000000000000e+01
6.240000000000000213e+00,6.589999999999999858e+00
6.538000000000000256e+00,7.730000000000000426e+00
7.690999999999999837e+00,6.580000000000000071e+00
6.758000000000000007e+00,3.529999999999999805e+00
6.854000000000000092e+00,2.979999999999999982e+00
7.267000000000000348e+00,6.049999999999999822e+00
6.825999999999999623e+00,4.160000000000000142e+00
6.482000000000000206e+00,7.190000000000000391e+00
6.812000000000000277e+00,4.849999999999999645e+00
7.820000000000000284e+00,3.759999999999999787e+00
6.967999999999999972e+00,4.589999999999999858e+00
7.644999999999999574e+00,3.009999999999999787e+00
7.923000000000000043e+00,3.160000000000000142e+00
7.088000000000000078e+00,7.849999999999999645e+00
6.453000000000000291e+00,8.230000000000000426e+00
6.230000000000000426e+00,1.292999999999999972e+01
6.208999999999999631e+00,7.139999999999999680e+00
6.315000000000000391e+00,7.599999999999999645e+00
6.565000000000000391e+00,9.509999999999999787e+00
6.860999999999999766e+00,3.330000000000000071e+00
7.147999999999999687e+00,3.560000000000000053e+00
6.629999999999999893e+00,4.700000000000000178e+00
6.126999999999999780e+00,8.580000000000000071e+00
6.009000000000000341e+00,1.040000000000000036e+01
6.677999999999999936e+00,6.269999999999999574e+00
6.549000000000000377e+00,7.389999999999999680e+00
5.790000000000000036e+00,1.583999999999999986e+01
6.344999999999999751e+00,4.969999999999999751e+00
7.041000000000000369e+00,4.740000000000000213e+00
6.871000000000000441e+00,6.070000000000000284e+00
6.589999999999999858e+00,9.500000000000000000e+00
6.495000000000000107e+00,8.669999999999999929e+00
6.982000000000000206e+00,4.860000000000000320e+00
7.235999999999999766e+00,6.929999999999999716e+00
6.615999999999999659e+00,8.929999999999999716e+00
7.419999999999999929e+00,6.469999999999999751e+00
6.849000000000000199e+00,7.530000000000000249e+00
6.634999999999999787e+00,4.540000000000000036e+00
5.972000000000000419e+00,9.970000000000000639e+00
4.972999999999999865e+00,1.264000000000000057e+01
6.121999999999999886e+00,5.980000000000000426e+00
6.022999999999999687e+00,1.172000000000000064e+01
6.266000000000000014e+00,7.900000000000000355e+00
6.567000000000000171e+00,9.279999999999999361e+00
5.705000000000000071e+00,1.150000000000000000e+01
5.913999999999999702e+00,1.832999999999999829e+01
5.782000000000000028e+00,1.593999999999999950e+01
6.381999999999999673e+00,1.035999999999999943e+01
6.113000000000000433e+00,1.273000000000000043e+01
6.426000000000000156e+00,7.200000000000000178e+00
6.376000000000000334e+00,6.870000000000000107e+00
6.041000000000000369e+00,7.700000000000000178e+00
5.708000000000000185e+00,1.174000000000000021e+01
6.415000000000000036e+00,6.120000000000000107e+00
6.431000000000000050e+00,5.080000000000000071e+00
6.312000000000000277e+00,6.150000000000000355e+00
6.083000000000000185e+00,1.278999999999999915e+01
5.868000000000000327e+00,9.970000000000000639e+00
6.333000000000000185e+00,7.339999999999999858e+00
6.144000000000000128e+00,9.089999999999999858e+00
5.706000000000000405e+00,1.242999999999999972e+01
6.030999999999999694e+00,7.830000000000000071e+00
6.315999999999999837e+00,5.679999999999999716e+00
6.309999999999999609e+00,6.750000000000000000e+00
6.036999999999999922e+00,8.009999999999999787e+00
5.868999999999999773e+00,9.800000000000000711e+00
5.894999999999999574e+00,1.056000000000000050e+01
6.059000000000000163e+00,8.509999999999999787e+00
5.985000000000000320e+00,9.740000000000000213e+00
5.967999999999999972e+00,9.289999999999999147e+00
7.240999999999999659e+00,5.490000000000000213e+00
6.540000000000000036e+00,8.650000000000000355e+00
6.695999999999999730e+00,7.179999999999999716e+00
6.873999999999999666e+00,4.610000000000000320e+00
6.014000000000000234e+00,1.052999999999999936e+01
5.897999999999999687e+00,1.266999999999999993e+01
6.516000000000000014e+00,6.360000000000000320e+00
6.634999999999999787e+00,5.990000000000000213e+00
6.939000000000000057e+00,5.889999999999999680e+00
6.490000000000000213e+00,5.980000000000000426e+00
6.578999999999999737e+00,5.490000000000000213e+00
5.884000000000000341e+00,7.790000000000000036e+00
6.727999999999999758e+00,4.500000000000000000e+00
5.663000000000000256e+00,8.050000000000000711e+00
5.935999999999999943e+00,5.570000000000000284e+00
6.211999999999999744e+00,1.760000000000000142e+01
6.394999999999999574e+00,1.326999999999999957e+01
6.126999999999999780e+00,1.148000000000000043e+01
6.112000000000000099e+00,1.266999999999999993e+01
6.397999999999999687e+00,7.790000000000000036e+00
6.251000000000000334e+00,1.418999999999999950e+01
5.362000000000000099e+00,1.018999999999999950e+01
5.802999999999999936e+00,1.464000000000000057e+01
8.779999999999999361e+00,5.290000000000000036e+00
3.560999999999999943e+00,7.120000000000000107e+00
4.963000000000000078e+00,1.400000000000000000e+01
3.862999999999999989e+00,1.333000000000000007e+01
4.969999999999999751e+00,3.259999999999999787e+00
6.682999999999999829e+00,3.729999999999999982e+00
7.016000000000000014e+00,2.959999999999999964e+00
6.216000000000000192e+00,9.529999999999999361e+00
5.875000000000000000e+00,8.880000000000000782e+00
4.905999999999999694e+00,3.477000000000000313e+01
4.137999999999999901e+00,3.796999999999999886e+01
7.312999999999999723e+00,1.343999999999999950e+01
6.649000000000000021e+00,2.323999999999999844e+01
6.793999999999999595e+00,2.123999999999999844e+01
6.379999999999999893e+00,2.369000000000000128e+01
6.222999999999999865e+00,2.178000000000000114e+01
6.967999999999999972e+00,1.721000000000000085e+01
6.544999999999999929e+00,2.107999999999999829e+01
5.535999999999999588e+00,2.360000000000000142e+01
5.519999999999999574e+00,2.455999999999999872e+01
4.368000000000000327e+00,3.062999999999999901e+01
5.277000000000000135e+00,3.080999999999999872e+01
4.652000000000000135e+00,2.828000000000000114e+01
5.000000000000000000e+00,3.198999999999999844e+01
4.879999999999999893e+00,3.062000000000000099e+01
5.389999999999999680e+00,2.085000000000000142e+01
5.713000000000000078e+00,1.710999999999999943e+01
6.051000000000000156e+00,1.876000000000000156e+01
5.035999999999999588e+00,2.567999999999999972e+01
6.192999999999999616e+00,1.516999999999999993e+01
5.886999999999999567e+00,1.635000000000000142e+01
6.471000000000000085e+00,1.712000000000000099e+01
6.405000000000000249e+00,1.937000000000000099e+01
5.746999999999999886e+00,1.992000000000000171e+01
5.453000000000000291e+00,3.058999999999999986e+01
5.852000000000000313e+00,2.996999999999999886e+01
5.987000000000000099e+00,2.676999999999999957e+01
6.342999999999999972e+00,2.032000000000000028e+01
6.403999999999999915e+00,2.030999999999999872e+01
5.349000000000000199e+00,1.976999999999999957e+01
5.530999999999999694e+00,2.737999999999999901e+01
5.682999999999999829e+00,2.298000000000000043e+01
4.137999999999999901e+00,2.333999999999999986e+01
5.607999999999999652e+00,1.213000000000000078e+01
5.616999999999999993e+00,2.639999999999999858e+01
6.852000000000000313e+00,1.978000000000000114e+01
5.756999999999999673e+00,1.010999999999999943e+01
6.657000000000000028e+00,2.121999999999999886e+01
4.628000000000000114e+00,3.436999999999999744e+01
5.155000000000000249e+00,2.007999999999999829e+01
4.519000000000000128e+00,3.697999999999999687e+01
6.434000000000000163e+00,2.905000000000000071e+01
6.782000000000000028e+00,2.578999999999999915e+01
5.304000000000000270e+00,2.664000000000000057e+01
5.956999999999999851e+00,2.062000000000000099e+01
6.823999999999999844e+00,2.273999999999999844e+01
6.410999999999999588e+00,1.501999999999999957e+01
6.006000000000000227e+00,1.569999999999999929e+01
5.647999999999999687e+00,1.409999999999999964e+01
6.102999999999999758e+00,2.328999999999999915e+01
5.565000000000000391e+00,1.716000000000000014e+01
5.895999999999999908e+00,2.439000000000000057e+01
5.836999999999999744e+00,1.568999999999999950e+01
6.201999999999999957e+00,1.451999999999999957e+01
6.192999999999999616e+00,2.151999999999999957e+01
6.379999999999999893e+00,2.407999999999999829e+01
6.347999999999999865e+00,1.764000000000000057e+01
6.833000000000000185e+00,1.969000000000000128e+01
6.424999999999999822e+00,1.202999999999999936e+01
6.435999999999999943e+00,1.621999999999999886e+01
6.208000000000000185e+00,1.516999999999999993e+01
6.628999999999999559e+00,2.326999999999999957e+01
6.461000000000000298e+00,1.805000000000000071e+01
6.152000000000000135e+00,2.644999999999999929e+01
5.934999999999999609e+00,3.402000000000000313e+01
5.626999999999999780e+00,2.287999999999999901e+01
5.817999999999999616e+00,2.210999999999999943e+01
6.405999999999999694e+00,1.951999999999999957e+01
6.219000000000000306e+00,1.658999999999999986e+01
6.485000000000000320e+00,1.885000000000000142e+01
5.854000000000000092e+00,2.378999999999999915e+01
6.458999999999999631e+00,2.398000000000000043e+01
6.341000000000000192e+00,1.778999999999999915e+01
6.251000000000000334e+00,1.644000000000000128e+01
6.184999999999999609e+00,1.812999999999999901e+01
6.416999999999999815e+00,1.930999999999999872e+01
6.748999999999999666e+00,1.744000000000000128e+01
6.655000000000000249e+00,1.773000000000000043e+01
6.296999999999999709e+00,1.726999999999999957e+01
7.392999999999999794e+00,1.673999999999999844e+01
6.727999999999999758e+00,1.871000000000000085e+01
6.525000000000000355e+00,1.812999999999999901e+01
5.975999999999999979e+00,1.901000000000000156e+01
5.935999999999999943e+00,1.694000000000000128e+01
6.301000000000000156e+00,1.623000000000000043e+01
6.081000000000000405e+00,1.469999999999999929e+01
6.700999999999999623e+00,1.642000000000000171e+01
6.376000000000000334e+00,1.465000000000000036e+01
6.317000000000000171e+00,1.399000000000000021e+01
6.512999999999999901e+00,1.028999999999999915e+01
6.208999999999999631e+00,1.322000000000000064e+01
5.759000000000000341e+00,1.413000000000000078e+01
5.951999999999999957e+00,1.714999999999999858e+01
6.003000000000000114e+00,2.132000000000000028e+01
5.926000000000000156e+00,1.812999999999999901e+01
5.713000000000000078e+00,1.475999999999999979e+01
6.166999999999999815e+00,1.628999999999999915e+01
6.229000000000000092e+00,1.286999999999999922e+01
6.437000000000000277e+00,1.435999999999999943e+01
6.980000000000000426e+00,1.166000000000000014e+01
5.426999999999999602e+00,1.814000000000000057e+01
6.161999999999999922e+00,2.410000000000000142e+01
6.483999999999999986e+00,1.867999999999999972e+01
5.304000000000000270e+00,2.491000000000000014e+01
6.184999999999999609e+00,1.803000000000000114e+01
6.229000000000000092e+00,1.310999999999999943e+01
6.241999999999999993e+00,1.074000000000000021e+01
6.750000000000000000e+00,7.740000000000000213e+00
7.060999999999999943e+00,7.009999999999999787e+00
5.761999999999999567e+00,1.041999999999999993e+01
5.871000000000000441e+00,1.333999999999999986e+01
6.312000000000000277e+00,1.058000000000000007e+01
6.113999999999999879e+00,1.498000000000000043e+01
5.905000000000000249e+00,1.144999999999999929e+01
5.453999999999999737e+00,1.805999999999999872e+01
5.413999999999999702e+00,2.396999999999999886e+01
5.092999999999999972e+00,2.967999999999999972e+01
5.982999999999999652e+00,1.807000000000000028e+01
5.982999999999999652e+00,1.334999999999999964e+01
5.706999999999999851e+00,1.200999999999999979e+01
5.926000000000000156e+00,1.358999999999999986e+01
5.669999999999999929e+00,1.760000000000000142e+01
5.389999999999999680e+00,2.114000000000000057e+01
5.793999999999999595e+00,1.409999999999999964e+01
6.019000000000000128e+00,1.291999999999999993e+01
5.568999999999999950e+00,1.509999999999999964e+01
6.027000000000000135e+00,1.433000000000000007e+01
6.592999999999999972e+00,9.669999999999999929e+00
6.120000000000000107e+00,9.080000000000000071e+00
6.975999999999999979e+00,5.639999999999999680e+00
6.793999999999999595e+00,6.480000000000000426e+00
6.030000000000000249e+00,7.879999999999999893e+00
