longitude,latitude
27.98,85.51
28.29,84.46
27.79,85.17
28.01,85.19
27.75,85.21
28,84.98
28.01,84.84
28.17,84.72
28.07,84.94
27.82,86.34
27.94,85.54
27.59,86.16
27.59,86.19
27.77,86.25
27.64,85.31
27.95,84.8
27.99,84.79
28.04,85.13
27.89,85.53
27.91,85.53
27.59,86.2
28.02,85.26
27.54,85.43
27.71,86.05
27.63,86.3
27.84,86.24
27.74,86.19
27.71,86.07
28.01,84.68
27.76,86.26
27.8,86.29
27.84,86
27.76,86.28
27.67,86.18
27.9,85.51
27.74,86.2
27.69,86.16
30.31,81.47
27.78,85.93
27.63,86.25
28.05,85.08
27.79,85.14
28.02,84.98
27.93,85.46
27.85,86.32
27.52,85.26
27.92,86.04
27.9,85.99
27.66,86.03
28.11,84.88
27.69,86.26
27.71,86.07
27.84,86.24
27.48,85.87
27.73,86.06
27.64,86.14
27.6,86.26
27.45,85.31
27.7,85.85
28.13,84.89
27.97,85.48
27.66,86.09
27.65,86.12
28.07,84.7
27.74,86.17
27.61,86.2
27.92,84.84
27.93,84.84
27.69,86.08
27.63,86.25
27.84,85.84
27.71,86.04
28.06,85.35
27.75,86.14
27.62,86.09
27.83,86.15
27.8,85.82
27.67,86.08
27.66,86.07
27.92,86.31
27.7,86.15
27.64,85.7
27.63,86.17
27.85,86.29
27.6,86.16
27.68,86.17
27.84,86.25
27.79,86.07
27.69,86.11
27.79,86.19
27.75,86.25
27.65,86.18
27.82,86.47
27.85,85.92
27.91,84.82
27.68,85.3
27.58,86.41
27.68,86.04
27.97,86.45
28.03,86.36
27.84,86.23
27.78,85.85
27.72,85.97
27.89,85.88
27.7,86.04
27.71,86
27.72,86.2
27.62,86.16
27.76,86.24
27.73,86.11
27.69,86.05
27.57,86.29
27.68,86.03
27.8,85.95
27.7,86.01
27.8,86.12
27.76,86.31
27.69,86.21
27.68,86.23
27.88,85.94
27.79,86.11
27.66,86.17
27.8,85.83
27.8,85.94
27.68,86.04
27.63,86.17
27.69,86.24
27.73,86.21
27.84,86.17
27.82,86.12
28.16,84.9
28.1,84.91
27.91,85.75
27.99,85.86
27.65,85.56
28.02,85.25
27.88,86
26.94,86.67
28.04,85.96
28.04,85.2
28.01,85.41
27.77,85.88
27.69,86.04
27.94,85.58
27.92,85.46
27.79,85.16
27.75,85.19
28.04,85.26
28.01,84.68
27.96,86
27.74,86.03
28.06,85.05
27.74,86
27.95,85.86
27.79,86.23
28.12,84.8
27.8,85.16
27.79,85.16
27.97,85.21
27.69,85.99
27.75,85.87
28.05,84.94
28.09,85.72
27.89,85.73
27.8,85.11
27.94,84.83
27.98,84.87
28.08,85.04
27.69,85.93
27.66,86.01
28.24,84.76
27.72,85.74
27.93,85.5
27.74,86.28
27.95,85.73
28.04,85.32
27.88,85.87
27.74,85.99
28.04,85.33
27.75,85.95
27.68,85.3
27.7,85.98
27.92,85.87
27.65,86.09
28.05,85.34
27.93,84.83
28.19,84.8
27.95,85.52
27.86,84.89
28.04,85.37
27.79,85.14
27.93,85.63
28.2,84.78
27.88,85.88
27.78,85.17
27.83,85.83
27.96,85.55
27.76,85.8
27.81,86.09
28.1,85.49
28.1,84.65
27.89,85.76
27.92,85.51
28.29,84.93
28.19,85.03
27.82,85.89
27.67,85.29
27.8,85.12
27.93,85.86
28.24,85.23
27.67,85.55
27.77,85.12
27.82,85.76
27.57,85.74
27.56,85.73
27.75,85.2
28.26,85.1
27.91,85.55
27.83,86.06
27.95,85.87
27.67,85.3
27.65,85.97
28.31,84.97
27.72,85.97
27.79,85.15
27.68,85.95
27.89,85.6
27.77,85.91
27.97,85.81
27.79,86
27.94,86.05
27.75,85.94
27.84,86.05
28.26,85.02
28.04,85.5
27.64,85.63
27.8,85.16
28.32,84.73
27.84,85.12
27.67,85.28
28.05,85.34
27.67,86.07
27.69,85.25
27.99,85.02
27.82,85.8
27.98,84.99
27.6,85.96
28.24,84.82
28.25,85.83
27.93,85.56
28.14,84.71
28.05,85.35
27.93,85.56
27.71,85.43
27.94,85.55
27.78,85.98
28.1,85.27
28.34,85.91
27.78,85.17
27.9,85.53
27.77,85.83
27.8,85.29
27.92,85.64
27.95,85.56
28.14,85.16
27.73,85.9
27.6,86.09
28.05,85.25
27.73,85.9
27.68,85.32
27.79,85.16
27.69,86.02
28.1,85.2
27.82,86.05
28,85.4
28.14,85.28
28.14,85.28
27.86,85.85
27.87,85.8
28.29,85.16
28,85.6
27.91,85.33
27.65,85.63
28.18,84.95
27.9,84.86
27.78,85.84
27.99,85.71
28.2,85.75
28.13,85.65
28.28,84.72
28.41,85.8
28.24,84.75